ts,x
7/2/2015 13:00,1024.0
7/3/2015 2:30,1024.0
7/3/2015 3:30,1024.0
7/3/2015 4:00,1022.9980430528376
7/3/2015 4:30,1024.0
7/3/2015 5:00,1024.0
7/4/2015 11:30,1024.0
7/4/2015 12:00,1024.0
7/4/2015 12:30,1024.0
7/4/2015 13:00,1024.0
7/4/2015 14:00,1024.0
7/4/2015 20:30,1024.0
7/4/2015 21:00,1024.0
7/4/2015 21:30,1024.0
7/4/2015 22:00,1024.0
7/5/2015 0:30,1024.0
7/5/2015 1:00,1024.0
7/5/2015 1:30,1024.0
7/7/2015 16:30,1024.0
7/7/2015 17:00,1024.0
7/7/2015 17:30,1024.0
7/7/2015 18:00,1024.0
7/7/2015 19:00,1024.0
7/7/2015 20:00,1024.0
7/7/2015 20:30,1024.0
7/7/2015 22:00,1024.0
7/7/2015 22:30,1024.0
7/7/2015 23:30,1024.0
7/8/2015 0:00,1024.0
7/8/2015 0:30,1024.0
7/8/2015 2:00,1024.0
7/8/2015 2:30,1024.0
7/8/2015 3:00,1024.0
7/8/2015 3:30,1024.0
7/8/2015 4:00,1022.9980430528376
7/8/2015 4:30,1024.0
7/8/2015 5:30,1024.0
7/8/2015 6:00,1024.0
7/8/2015 7:00,1024.0
7/8/2015 7:30,1024.0
7/8/2015 17:30,1022.9980430528376
7/8/2015 18:30,1024.0
7/8/2015 19:00,1024.0
7/8/2015 19:30,1024.0
7/8/2015 20:00,1024.0
7/8/2015 23:30,1024.0
7/9/2015 0:00,1024.0
7/9/2015 1:30,1024.0
7/9/2015 17:00,1024.0
7/9/2015 17:30,1024.0
7/9/2015 18:00,1024.0
7/9/2015 18:30,1024.0
7/9/2015 19:00,1024.0
7/9/2015 19:30,1024.0
7/9/2015 20:00,1024.0
7/9/2015 20:30,1024.0
7/9/2015 21:30,1024.0
7/10/2015 19:30,1024.0
7/10/2015 20:00,1024.0
7/10/2015 21:00,1024.0
7/10/2015 23:30,1024.0
7/11/2015 0:00,1024.0
7/11/2015 0:30,1024.0
7/11/2015 1:00,1024.0
7/11/2015 1:30,1024.0
7/11/2015 2:30,1024.0
7/11/2015 3:00,1024.0
7/11/2015 4:00,1024.0
7/11/2015 4:30,1024.0
7/11/2015 6:00,1024.0
7/11/2015 7:00,1024.0
7/11/2015 8:30,1024.0
7/11/2015 9:30,1024.0
7/11/2015 19:00,1024.0
7/11/2015 20:00,1024.0
7/11/2015 22:00,1024.0
7/11/2015 22:30,1024.0
7/11/2015 23:00,1024.0
7/11/2015 23:30,1024.0
7/12/2015 0:00,1024.0
7/12/2015 0:30,1024.0
7/12/2015 1:30,1024.0
7/12/2015 3:00,1024.0
7/12/2015 3:30,1024.0
7/12/2015 4:00,1024.0
7/12/2015 4:30,1024.0
7/12/2015 5:00,1024.0
7/12/2015 6:30,1024.0
7/12/2015 7:00,1024.0
7/12/2015 7:30,1022.9980430528376
7/12/2015 8:30,1024.0
7/12/2015 19:30,1024.0
7/12/2015 20:00,1024.0
7/12/2015 21:00,1024.0
7/12/2015 21:30,1024.0
7/12/2015 23:30,1024.0
7/13/2015 1:00,1024.0
7/13/2015 2:00,1024.0
7/13/2015 3:00,1024.0
7/13/2015 4:00,1024.0
7/13/2015 4:30,1024.0
7/13/2015 5:30,1024.0
7/13/2015 7:00,1024.0
7/13/2015 8:00,1024.0
7/13/2015 9:30,1024.0
7/13/2015 13:00,1024.0
7/13/2015 13:30,1024.0
7/13/2015 18:00,1024.0
7/13/2015 18:30,1024.0
7/13/2015 19:30,1024.0
7/13/2015 20:30,1024.0
7/14/2015 0:00,1024.0
7/14/2015 0:30,1024.0
7/14/2015 1:00,1024.0
7/14/2015 1:30,1024.0
7/14/2015 2:30,1024.0
7/14/2015 4:30,1024.0
7/14/2015 8:00,1024.0
7/14/2015 9:00,1024.0
7/14/2015 9:30,1024.0
7/14/2015 11:00,1024.0
7/14/2015 15:00,1024.0
7/14/2015 16:00,1024.0
7/14/2015 17:00,1024.0
7/14/2015 18:00,1024.0
7/14/2015 18:30,1024.0
7/14/2015 19:30,1024.0
7/14/2015 20:00,1024.0
7/14/2015 20:30,1024.0
7/14/2015 21:00,1024.0
7/14/2015 22:30,1024.0
7/14/2015 23:30,1024.0
7/15/2015 0:30,1024.0
7/15/2015 1:30,1024.0
7/15/2015 2:00,1024.0
7/15/2015 4:00,1024.0
7/15/2015 5:00,1024.0
7/15/2015 6:00,1024.0
7/15/2015 7:30,1024.0
7/15/2015 8:00,1024.0
7/15/2015 8:30,1024.0
7/15/2015 9:00,1024.0
7/15/2015 9:30,1024.0
7/15/2015 10:30,1024.0
7/15/2015 18:00,1024.0
7/15/2015 19:00,1024.0
7/15/2015 20:00,1024.0
7/15/2015 21:00,1024.0
7/15/2015 21:30,1024.0
7/15/2015 22:30,1024.0
7/15/2015 23:30,1024.0
7/16/2015 2:31,1024.0
7/16/2015 3:00,1024.0
7/16/2015 3:30,1024.0
7/16/2015 4:00,1024.0
7/16/2015 4:30,1022.9980430528376
7/16/2015 5:00,1024.0
7/16/2015 6:00,1024.0
7/16/2015 6:31,1024.0
7/16/2015 7:30,1024.0
7/16/2015 8:30,1024.0
7/16/2015 9:30,1024.0
7/16/2015 10:00,1024.0
7/16/2015 10:30,1024.0
7/16/2015 11:00,1024.0
7/16/2015 11:30,1024.0
7/16/2015 13:00,1024.0
7/16/2015 14:00,1024.0
7/16/2015 14:30,1024.0
7/16/2015 17:30,1024.0
7/16/2015 18:30,1024.0
7/16/2015 19:30,1024.0
7/16/2015 20:00,1024.0
7/16/2015 20:30,1024.0
7/16/2015 21:00,1024.0
7/16/2015 21:30,1024.0
7/16/2015 22:00,1024.0
7/16/2015 23:30,1024.0
7/17/2015 0:30,1024.0
7/17/2015 1:30,1024.0
7/17/2015 2:00,1024.0
7/17/2015 3:30,1024.0
7/17/2015 5:00,1024.0
7/17/2015 6:00,1024.0
7/17/2015 7:30,1022.9980430528376
7/17/2015 10:30,1024.0
7/17/2015 14:30,1024.0
7/17/2015 15:00,1024.0
7/17/2015 18:00,1024.0
7/18/2015 2:00,1024.0
7/18/2015 3:00,1024.0
7/18/2015 3:30,1024.0
7/18/2015 5:00,1024.0
7/18/2015 5:30,1024.0
7/18/2015 6:00,1024.0
7/18/2015 6:30,1024.0
7/18/2015 7:00,1024.0
7/18/2015 8:00,1024.0
7/18/2015 8:30,1024.0
7/18/2015 9:00,1024.0
7/18/2015 10:01,1024.0
7/19/2015 14:00,1024.0
7/19/2015 14:30,1024.0
7/19/2015 15:00,1024.0
7/19/2015 18:30,1024.0
7/19/2015 19:00,1024.0
7/19/2015 19:31,1024.0
7/19/2015 20:00,1024.0
7/19/2015 20:30,1024.0
7/19/2015 21:00,1024.0
7/19/2015 21:30,1024.0
7/19/2015 22:00,1024.0
7/19/2015 22:30,1024.0
7/19/2015 23:00,1024.0
7/19/2015 23:30,1024.0
7/20/2015 0:00,1024.0
7/20/2015 0:30,1024.0
7/20/2015 1:00,1024.0
7/20/2015 1:30,1024.0
7/20/2015 2:00,1024.0
7/20/2015 2:30,1024.0
7/20/2015 3:00,1024.0
7/20/2015 3:30,1024.0
7/20/2015 4:00,1024.0
7/20/2015 4:30,1024.0
7/20/2015 5:00,1024.0
7/20/2015 5:30,1024.0
7/20/2015 6:00,1024.0
7/20/2015 6:30,1024.0
7/20/2015 7:00,1024.0
7/20/2015 8:30,1024.0
7/20/2015 9:00,1024.0
7/20/2015 10:00,1024.0
7/20/2015 10:30,1024.0
7/20/2015 11:00,1024.0
7/20/2015 11:30,1024.0
7/20/2015 12:00,1024.0
7/20/2015 12:30,1024.0
7/20/2015 13:00,1024.0
7/20/2015 13:30,1024.0
7/20/2015 14:00,1024.0
7/20/2015 14:30,1024.0
7/20/2015 15:00,1024.0
7/20/2015 17:31,1024.0
7/21/2015 9:30,1024.0
7/21/2015 10:00,1024.0
