ts,z
7/3/2015 3:30,29.0
7/3/2015 5:00,29.0
7/4/2015 12:00,29.0
7/4/2015 13:00,30.0
7/4/2015 21:00,29.0
7/4/2015 21:30,29.0
7/5/2015 0:30,29.0
7/5/2015 1:00,29.0
7/7/2015 16:30,30.0
7/7/2015 17:00,29.0
7/7/2015 18:00,29.0
7/7/2015 19:00,30.0
7/7/2015 20:00,30.0
7/7/2015 20:30,29.0
7/7/2015 22:00,29.0
7/7/2015 23:30,28.0
7/8/2015 0:00,30.0
7/8/2015 2:30,29.0
7/8/2015 3:30,30.0
7/8/2015 4:00,29.0
7/8/2015 4:30,29.0
7/8/2015 6:00,28.0
7/8/2015 7:30,28.0
7/8/2015 17:30,29.0
7/8/2015 19:00,28.0
7/8/2015 19:30,29.0
7/8/2015 23:30,29.0
7/9/2015 1:30,29.0
7/9/2015 17:00,28.0
7/9/2015 17:30,28.0
7/9/2015 18:30,28.0
7/9/2015 19:00,29.0
7/9/2015 20:00,29.0
7/9/2015 20:30,28.0
7/10/2015 19:30,29.0
7/10/2015 20:00,28.0
7/10/2015 21:00,29.0
7/11/2015 0:00,29.0
7/11/2015 0:30,28.0
7/11/2015 2:30,29.0
7/11/2015 4:30,29.0
7/11/2015 7:00,28.0
7/11/2015 20:00,28.0
7/11/2015 22:00,29.0
7/11/2015 23:30,29.0
7/12/2015 0:30,29.0
7/12/2015 1:30,29.0
7/12/2015 3:30,29.0
7/12/2015 5:00,28.0
7/12/2015 7:30,29.0
7/12/2015 8:30,29.0
7/12/2015 19:30,28.0
7/12/2015 20:00,29.0
7/12/2015 21:00,28.0
7/12/2015 23:30,28.0
7/13/2015 1:00,29.0
7/13/2015 3:00,28.0
7/13/2015 4:00,28.0
7/13/2015 7:00,28.0
7/13/2015 8:00,28.0
7/13/2015 18:00,28.0
7/13/2015 18:30,28.0
7/13/2015 19:30,28.0
7/13/2015 20:30,28.0
7/14/2015 0:00,29.0
7/14/2015 1:00,29.0
